['c', 'o', 'n', 'c', 'u', 'b', 'i', 'n', 'e'],4,0.11544989999999977
['s', 't', 'y', 'l', 'i', 's', 't', 'i', 'c'],3,0.06703240000000044
['r', 'i', 'v', 'a', 'l', 'r', 'i', 'e', 's'],4,0.6525400000000001
['q', 'u', 'a', 'r', 'r', 'y', 'm', 'e', 'n'],5,0.47059910000000116
['m', 'i', 'n', 'i', 'a', 't', 'u', 'r', 'e'],5,0.30801510000000043
['m', 'a', 's', 's', 'a', 'g', 'i', 'n', 'g'],5,0.35327660000000094
['a', 'n', 'i', 'm', 'a', 't', 'i', 'o', 'n'],3,0.03325099999999992
['p', 'r', 'e', 'm', 'i', 'e', 'r', 'e', 'd'],4,0.4631957
['r', 'e', 'p', 'r', 'o', 'b', 'a', 't', 'e'],5,0.36628020000000205
['p', 'r', 'o', 's', 't', 'a', 't', 'i', 'c'],5,0.4156661000000028
['d', 'e', 'a', 'd', 'e', 'n', 'i', 'n', 'g'],4,0.20706610000000225
['h', 'a', 'n', 'd', 's', 'h', 'a', 'k', 'e'],4,0.23100129999999908
['s', 'o', 'u', 'v', 'e', 'n', 'i', 'r', 's'],6,0.5711844999999975
['o', 'u', 't', 's', 'k', 'i', 'r', 't', 's'],4,0.40645100000000056
['l', 'a', 'd', 'y', 'b', 'i', 'r', 'd', 's'],6,0.3412948
['e', 'x', 'p', 'u', 'n', 'g', 'i', 'n', 'g'],6,0.29638160000000013
['b', 'r', 'a', 'c', 'e', 'l', 'e', 't', 's'],4,0.1044672999999996
['c', 'e', 'n', 't', 'u', 'r', 'i', 'e', 's'],4,0.16134639999999933
['w', 'o', 'r', 'k', 'h', 'o', 'r', 's', 'e'],5,0.5777378999999989
['t', 'h', 'r', 'u', 's', 't', 'i', 'n', 'g'],4,0.5305977000000013
